type	fname	year	month	day	positive	negative	x	y
ex231	2010-1-25-ex231.txt	2010	1	25	0.011916596273697405	0.020842949847853846	9.930496894747839E-5	1.7369124873211535E-4
ex232	2010-1-25-ex232.txt	2010	1	25	0.011916596273697405	0.020842949847853846	5.928654862536023E-5	1.0369626789977037E-4
ex311	2010-1-25-ex311.txt	2010	1	25	0.15926148247222952	0.2325465300796385	3.141252119767841E-4	4.586716569618116E-4
ex311	2010-4-21-ex311.txt	2010	4	21	0.15926148247222952	0.2325465300796385	3.153692722222367E-4	4.604881783755218E-4
ex311	2010-7-21-ex311.txt	2010	7	21	0.15926148247222954	0.2325465300796385	3.141252119767841E-4	4.586716569618117E-4
ex311	2011-1-19-ex311.txt	2011	1	19	0.15926148247222952	0.2325465300796385	3.141252119767841E-4	4.586716569618116E-4
ex311	2011-4-21-ex311.txt	2011	4	21	0.15926148247222952	0.2325465300796385	3.141252119767841E-4	4.586716569618116E-4
ex311	2011-7-20-ex311.txt	2011	7	20	0.15926148247222952	0.2325465300796385	3.1412521197678406E-4	4.586716569618116E-4
ex311	2012-1-25-ex311.txt	2012	1	25	0.1268755572357581	0.19409926355352847	2.4975503392865773E-4	3.820851644754497E-4
ex312	2012-1-25-ex312.txt	2012	1	25	0.11243236564663373	0.17051436182529378	2.2132355442250736E-4	3.356581925694759E-4
ex321	2012-1-25-ex321.txt	2012	1	25	0.08323263538982197	0.14817227827461504	3.2898274857637137E-4	5.856611789510476E-4
ex311	2012-4-25-ex311.txt	2012	4	25	0.1268755572357581	0.19409926355352847	2.4975503392865773E-4	3.820851644754497E-4
ex312	2012-4-25-ex312.txt	2012	4	25	0.11243236564663373	0.17051436182529378	2.2132355442250738E-4	3.356581925694759E-4
ex321	2012-4-25-ex321.txt	2012	4	25	0.08323263538982197	0.14817227827461504	2.951511893256098E-4	5.254336109028903E-4
ex108	2012-5-24-ex108.txt	2012	5	24	0.00634682196128869	0.011285429780570533	1.70156084753048E-5	3.0255843915738693E-5
ex311	2012-7-25-ex311.txt	2012	7	25	0.1268755572357581	0.19409926355352847	2.4975503392865773E-4	3.820851644754497E-4
ex312	2012-7-25-ex312.txt	2012	7	25	0.11243236564663373	0.17051436182529375	2.2132355442250736E-4	3.356581925694759E-4
ex321	2012-7-25-ex321.txt	2012	7	25	0.08323263538982197	0.14817227827461504	2.9515118932560983E-4	5.254336109028902E-4
ex311	2013-1-24-ex311.txt	2013	1	24	0.1268755572357581	0.19409926355352847	2.4975503392865773E-4	3.820851644754497E-4
ex312	2013-1-24-ex312.txt	2013	1	24	0.11243236564663375	0.17051436182529378	2.2132355442250738E-4	3.356581925694759E-4
ex321	2013-1-24-ex321.txt	2013	1	24	0.08323263538982197	0.14817227827461504	2.9515118932560983E-4	5.254336109028902E-4
ex311	2013-4-23-ex311.txt	2013	4	23	0.11976252289201247	0.18110193583737844	2.400050558958166E-4	3.6292973113703097E-4
